Match_Order,Game_Number,Team_Left,Team_Right,Winner_Match,Left_Bans,Left_Picks,Right_Bans,Right_Picks
9,1,Team Liquid PH,Aurora Gaming PH,Aurora Gaming PH,"Fanny, Zhuxin, Cici, Selena, Yve 2024","Phoveus 2024, Lancelot 2021, Kagura 2021, Claude 2024, Gatotkaca","Wanwan 2025, Baxia, Pharsa, Luo Yi, Valentina","Lapu-Lapu, Yi Sun-Shin, Kimmy 2025, Harith, Hylos"
9,2,Team Liquid PH,Aurora Gaming PH,Aurora Gaming PH,"Wanwan 2025, Cici, Lancelot 2021, Harith, Moskov 2023","Lapu-Lapu, Fredrinn, Kimmy 2025, Granger 2024, Baxia","Arlott, Pharsa, Zhuxin, Mathilda, Hayabusa 2021","Gloo 2025, Yi Sun-Shin, Valentina, Karrie, Grock 2025"
9,3,Team Liquid PH,Aurora Gaming PH,Aurora Gaming PH,"Fanny, Cici, Kimmy 2025, Selena, Kagura 2021","Arlott, Yi Sun-Shin, Pharsa, Lunox, Kalea","Wanwan 2025, Baxia, Zhuxin, Gatotkaca, Ruby","Lapu-Lapu, Lancelot 2021, Novaria, Harith, Hylos"
10,1,TNC Pro Team,Team Falcons PH,TNC Pro Team,"Zhuxin, Kalea, Phoveus 2024, Moskov 2023, Lapu-Lapu","Gloo 2025, Lancelot 2021, Pharsa, Granger 2024, Grock 2025","Wanwan 2025, Cici, Arlott, Gatotkaca, Hylos","Benedetta, Yi Sun-Shin, Selena, Harith, Baxia"
10,2,TNC Pro Team,Team Falcons PH,TNC Pro Team,"Wanwan 2025, Baxia, Badang, Kalea, Valentina","Cici, Fanny, Zhuxin, Moskov 2023, Grock 2025","Arlott, Phoveus 2024, Yi Sun-Shin, Gatotkaca, Hylos","Uranus, Lancelot 2021, Pharsa, Granger 2024, Ruby"
11,1,Omega Esports,Twisted Minds PH,Twisted Minds PH,"Joy, Yi Sun-Shin, Uranus, Esmeralda, Phoveus 2024","Ruby, Lancelot 2021, Yve 2024, Granger 2024, Gatotkaca","Wanwan 2025, Baxia, Harith, Cici, Zhuxin","Lapu-Lapu, Hayabusa 2021, Kagura 2021, Moskov 2023, Kalea"
11,2,Omega Esports,Twisted Minds PH,Twisted Minds PH,"Yi Sun-Shin, Uranus, Joy, Zhuxin, Pharsa","Phoveus 2024, Lancelot 2021, Kagura 2021, Karrie, Ruby","Wanwan 2025, Baxia, Harith, Badang, Gatotkaca","Esmeralda, Hayabusa 2021, Valentina, Granger 2024, Kalea"
11,3,Omega Esports,Twisted Minds PH,Twisted Minds PH,"Yi Sun-Shin, Joy, Hayabusa 2021, Moskov 2023, Granger 2024","Cici, Lancelot 2021, Zhuxin, Harith, Gatotkaca","Wanwan 2025, Baxia, Phoveus 2024, Esmeralda, Lapu-Lapu","Uranus, Nolan, Kagura 2021, Beatrix, Kalea"
12,1,ONIC Philippines,Aurora Gaming PH,Aurora Gaming PH,"Fanny, Phoveus 2024, Lapu-Lapu, Kalea, Hilda","Cici, Yi Sun-Shin, Selena, Moskov 2023, Edith","Wanwan 2025, Baxia, Zhuxin, Lunox, Hylos","Arlott, Lancelot 2021, Valentina, Harith, Grock 2025"
12,2,ONIC Philippines,Aurora Gaming PH,Aurora Gaming PH,"Phoveus 2024, Lapu-Lapu, Harith, Hylos, Gatotkaca","Hilda, Yi Sun-Shin, Kagura 2021, Cici, Kalea","Wanwan 2025, Baxia, Zhuxin, Lunox, Pharsa","Uranus, Lancelot 2021, Kimmy 2025, Moskov 2023, Chou"
12,3,ONIC Philippines,Aurora Gaming PH,Aurora Gaming PH,"Phoveus 2024, Kimmy 2025, Harith, Fanny, Hayabusa 2021","Cici, Yi Sun-Shin, Zhuxin, Granger 2024, Kalea","Wanwan 2025, Baxia, Lancelot 2021, Lunox, Grock 2025","Lapu-Lapu, Joy, Yve 2024, Moskov 2023, Hylos"
13,1,Omega Esports,Team Falcons PH,Omega Esports,"Wanwan 2025, Yi Sun-Shin, Lancelot 2021, Selena, Pharsa","Lapu-Lapu, Hayabusa 2021, Luo Yi, Harith, Chou","Kalea, Phoveus 2024, Gatotkaca, Kagura 2021, Zhuxin","Arlott, Baxia, Valentina, Moskov 2023, Badang"
13,2,Omega Esports,Team Falcons PH,Omega Esports,"Wanwan 2025, Yi Sun-Shin, Lancelot 2021, Selena, Valentina","Lapu-Lapu, Fanny, Zhuxin, Harith, Grock 2025","Kalea, Phoveus 2024, Hayabusa 2021, Luo Yi, Chou","Arlott, Baxia, Kagura 2021, Moskov 2023, Khufra"
14,1,Team Liquid PH,Twisted Minds PH,Team Liquid PH,"Cici, Lancelot 2021, Kalea, Hayabusa 2021, Yi Sun-Shin","Lapu-Lapu, Fredrinn, Zhuxin, Harith, Chip","Arlott, Baxia, Wanwan 2025, Granger 2024, Gatotkaca","Uranus, Joy, Kimmy 2025, Moskov 2023, Hylos"
14,2,Team Liquid PH,Twisted Minds PH,Team Liquid PH,"Cici, Lancelot 2021, Kalea, Badang, Harith","Lapu-Lapu, Fredrinn, Zhuxin, Granger 2024, Mathilda","Arlott, Baxia, Wanwan 2025, Chip, Hylos","Uranus, Hayabusa 2021, Kimmy 2025, Moskov 2023, Gatotkaca"
15,1,Aurora Gaming PH,Twisted Minds PH,Aurora Gaming PH,"Wanwan 2025, Kalea, Cici, Phoveus 2024, Gloo 2025","Arlott, Baxia, Kimmy 2025, Harith, Chip","Fanny, Lapu-Lapu, Zhuxin, Mathilda, Yi Sun-Shin","Uranus, Lancelot 2021, Kagura 2021, Granger 2024, Khaleed"
15,2,Aurora Gaming PH,Twisted Minds PH,Aurora Gaming PH,"Wanwan 2025, Kalea, Zhuxin, Moskov 2023, Granger 2024","Esmeralda, Yi Sun-Shin, Kimmy 2025, Roger, Hylos","Fanny, Harith, Baxia, Ruby, Arlott","Uranus, Lancelot 2021, Kagura 2021, Karrie, Kaja"
15,3,Aurora Gaming PH,Twisted Minds PH,Aurora Gaming PH,"Kalea, Uranus, Zhuxin, Grock 2025, Esmeralda","Lapu-Lapu, Lancelot 2021, Kimmy 2025, Moskov 2023, Gatotkaca","Wanwan 2025, Baxia, Hylos, Cici, Selena","Phoveus 2024, Yi Sun-Shin, Kagura 2021, Harith, Badang"
16,1,ONIC Philippines,Team Falcons PH,ONIC Philippines,"Cici, Baxia, Zhuxin, Badang, Fredrinn","Phoveus 2024, Fanny, Selena, Beatrix, Kalea","Wanwan 2025, Lancelot 2021, Yi Sun-Shin, Luo Yi, Bruno 2023","Lapu-Lapu, Joy, Pharsa, Moskov 2023, Grock 2025"
16,2,ONIC Philippines,Team Falcons PH,ONIC Philippines,"Wanwan 2025, Lancelot 2021, Baxia, Cici, Arlott","Lapu-Lapu, Hayabusa 2021, Kagura 2021, Karrie, Kalea","Phoveus 2024, Fanny, Zhuxin, Beatrix, Harith","Esmeralda, Yi Sun-Shin, Selena, Ruby, Gatotkaca"
17,1,AP.Bren,TNC Pro Team,TNC Pro Team,"Wanwan 2025, Lancelot 2021, Baxia, Cici, Gloo 2025","Arlott, Lukas, Kagura 2021, Moskov 2023, Hylos","Phoveus 2024, Kalea, Uranus, Akai 2022, Kimmy 2025","Lapu-Lapu, Fanny, Zhuxin, Karrie, Gatotkaca"
17,2,AP.Bren,TNC Pro Team,TNC Pro Team,"Wanwan 2025, Zhuxin, Lancelot 2021, Gatotkaca, Grock 2025","Lapu-Lapu, Hayabusa 2021, Kagura 2021, Moskov 2023, Baxia","Phoveus 2024, Kalea, Uranus, Badang, Khufra","Arlott, Fanny, Pharsa, Harith, Akai 2022"
18,1,Omega Esports,Team Liquid PH,Team Liquid PH,"Wanwan 2025, Zhuxin, Baxia, Esmeralda, Uranus","Phoveus 2024, Lancelot 2021, Kagura 2021, Claude 2024, Ruby","Fanny, Harith, Cici, Grock 2025, Hylos","Gloo 2025, Yi Sun-Shin, Pharsa, Granger 2024, Kalea"
18,2,Omega Esports,Team Liquid PH,Team Liquid PH,"Baxia, Zhuxin, Phoveus 2024, Chip, Valentina","Lapu-Lapu, Hayabusa 2021, Kimmy 2025, Karrie, Kalea","Wanwan 2025, Fanny, Cici, Lunox, Pharsa","Esmeralda, Lancelot 2021, Selena, Harith, Gatotkaca"
19,1,ONIC Philippines,Twisted Minds PH,Twisted Minds PH,"Uranus, Cici, Baxia, Gatotkaca, Mathilda","Lapu-Lapu, Joy, Pharsa, Bruno 2023, Kalea","Wanwan 2025, Fanny, Lancelot 2021, Granger 2024, Beatrix","Esmeralda, Fredrinn, Zhuxin, Moskov 2023, Khaleed"
19,2,ONIC Philippines,Twisted Minds PH,Twisted Minds PH,"Wanwan 2025, Baxia, Uranus, Fredrinn, Guinevere","Terizla, Yi Sun-Shin, Zhuxin, Harith, Hylos","Fanny, Lancelot 2021, Joy, Lapu-Lapu, Arlott","Cici, Akai 2022, Kimmy 2025, Beatrix, Kalea"
19,3,ONIC Philippines,Twisted Minds PH,Twisted Minds PH,"Cici, Baxia, Uranus, Phoveus 2024, Esmeralda","Lapu-Lapu, Lancelot 2021, Pharsa, Moskov 2023, Hylos","Wanwan 2025, Fanny, Kalea, Granger 2024, Bruno 2023","Arlott, Akai 2022, Kimmy 2025, Harith, Gatotkaca"
20,1,AP.Bren,Team Falcons PH,AP.Bren,"Phoveus 2024, Fanny, Lancelot 2021, Hylos, Gatotkaca","Benedetta, Fredrinn, Pharsa, Harith, Kalea","Wanwan 2025, Baxia, Arlott, Lapu-Lapu, Cici","Uranus, Hayabusa 2021, Zhuxin, Granger 2024, Grock 2025"
20,2,AP.Bren,Team Falcons PH,AP.Bren,"Wanwan 2025, Fanny, Lancelot 2021, Beatrix, Pharsa","Cici, Hayabusa 2021, Zhuxin, Harith, Badang","Phoveus 2024, Baxia, Uranus, Esmeralda, Arlott","Lapu-Lapu, Joy, Luo Yi, Granger 2024, Kalea"
20,3,AP.Bren,Team Falcons PH,AP.Bren,"Wanwan 2025, Fanny, Lancelot 2021, Esmeralda, Beatrix","Uranus, Suyou, Kagura 2021, Harith, Gatotkaca","Zhuxin, Baxia, Hayabusa 2021, Hylos, Lukas","Cici, Yi Sun-Shin, Pharsa, Lunox, Kalea"
21,1,TNC Pro Team,Aurora Gaming PH,Aurora Gaming PH,"Wanwan 2025, Lancelot 2021, Kimmy 2025, Chip, Hayabusa 2021","Cici, Yi Sun-Shin, Selena, Harith, Gatotkaca","Fanny, Zhuxin, Uranus, Luo Yi, Grock 2025","Lapu-Lapu, Baxia, Kagura 2021, Moskov 2023, Franco"
21,2,TNC Pro Team,Aurora Gaming PH,Aurora Gaming PH,"Wanwan 2025, Baxia, Lancelot 2021, Kimmy 2025, Grock 2025","Lapu-Lapu, Hayabusa 2021, Pharsa, Claude 2024, Hylos","Fanny, Zhuxin, Uranus, Karrie, Moskov 2023","Esmeralda, Yi Sun-Shin, Selena, Harith, Badang"
22,1,AP.Bren,Aurora Gaming PH,Aurora Gaming PH,"Fanny, Phoveus 2024, Lapu-Lapu, Selena, Valentina","Ruby, Joy, Lunox, Beatrix, Kalea","Wanwan 2025, Lancelot 2021, Baxia, Pharsa, Kagura 2021","Terizla, Yi Sun-Shin, Kimmy 2025, Harith, Gatotkaca"
22,2,AP.Bren,Aurora Gaming PH,Aurora Gaming PH,"Fanny, Phoveus 2024, Lapu-Lapu, Grock 2025, Terizla","Ruby, Hayabusa 2021, Lunox, Beatrix, Kalea","Wanwan 2025, Lancelot 2021, Baxia, Kagura 2021, Pharsa","Cici, Yi Sun-Shin, Selena, Harith, Gatotkaca"
23,1,ONIC Philippines,Omega Esports,ONIC Philippines,"Harith, Cici, Phoveus 2024, Uranus, Hylos","Arlott, Lancelot 2021, Zhuxin, Claude 2024, Grock 2025","Wanwan 2025, Kalea, Selena, Baxia, Gatotkaca","Esmeralda, Yi Sun-Shin, Lunox, Helcurt 2024, Ruby"
23,2,ONIC Philippines,Omega Esports,ONIC Philippines,"Harith, Cici, Uranus, Phoveus 2024, Helcurt 2024","Arlott, Lancelot 2021, Zhuxin, Granger 2024, Grock 2025","Wanwan 2025, Kalea, Selena, Esmeralda, Claude 2024","Lapu-Lapu, Yi Sun-Shin, Vexana 2022, Ruby, Chou"
24,1,TNC Pro Team,Twisted Minds PH,TNC Pro Team,"Baxia, Kimmy 2025, Uranus, Arlott, Granger 2024","Cici, Yi Sun-Shin, Zhuxin, Esmeralda, Carmilla","Wanwan 2025, Fanny, Lancelot 2021, Gatotkaca, Grock 2025","Lapu-Lapu, Akai 2022, Yve 2024, Harith, Kalea"
24,2,TNC Pro Team,Twisted Minds PH,TNC Pro Team,"Wanwan 2025, Baxia, Kimmy 2025, Kalea, Khaleed","Uranus, Yi Sun-Shin, Yve 2024, Karrie, Gatotkaca","Fanny, Lancelot 2021, Cici, Grock 2025, Hylos","Lapu-Lapu, Akai 2022, Zhuxin, Harith, Arlott"
24,3,TNC Pro Team,Twisted Minds PH,TNC Pro Team,"Baxia, Kimmy 2025, Akai 2022, Fredrinn, Guinevere","Arlott, Yi Sun-Shin, Lunox, Cici, Grock 2025","Fanny, Wanwan 2025, Lancelot 2021, Esmeralda, Harith","Uranus, Hayabusa 2021, Yve 2024, Beatrix, Kalea"
25,1,Omega Esports,Aurora Gaming PH,Aurora Gaming PH,"Wanwan 2025, Lancelot 2021, Baxia, Esmeralda, Lunox","Phoveus 2024, Hayabusa 2021, Kagura 2021, Harith, Grock 2025","Fanny, Zhuxin, Kalea, Lapu-Lapu, Uranus","Terizla, Yi Sun-Shin, Selena, Granger 2024, Gatotkaca"
25,2,Omega Esports,Aurora Gaming PH,Aurora Gaming PH,"Wanwan 2025, Lancelot 2021, Baxia, Esmeralda, Granger 2024","Phoveus 2024, Hayabusa 2021, Kagura 2021, Harith, Grock 2025","Fanny, Zhuxin, Kalea, Lapu-Lapu, Uranus","Terizla, Yi Sun-Shin, Selena, Moskov 2023, Gatotkaca"
25,3,Omega Esports,Aurora Gaming PH,Aurora Gaming PH,"Wanwan 2025, Baxia, Lancelot 2021, Kimmy 2025, Franco","Esmeralda, Hayabusa 2021, Vexana 2022, Granger 2024, Gatotkaca","Fanny, Zhuxin, Kalea, Grock 2025, Luo Yi","Lapu-Lapu, Fredrinn, Pharsa, Harith, Chip"
26,1,Team Liquid PH,Team Falcons PH,Team Liquid PH,"Fanny, Kalea, Cici, Chip, Yve 2024","Arlott, Fredrinn, Zhuxin, Moskov 2023, Gatotkaca","Lancelot 2021, Wanwan 2025, Phoveus 2024, Granger 2024, Esmeralda","Lapu-Lapu, Hayabusa 2021, Kimmy 2025, Harith, Grock 2025"
26,2,Team Liquid PH,Team Falcons PH,Team Liquid PH,"Wanwan 2025, Fanny, Cici, Moskov 2023, Hylos","Esmeralda, Yi Sun-Shin, Luo Yi, Granger 2024, Baxia","Phoveus 2024, Kalea, Lancelot 2021, Harith, Pharsa","Lapu-Lapu, Fredrinn, Zhuxin, Claude 2024, Chip"
26,3,Team Liquid PH,Team Falcons PH,Team Liquid PH,"Fanny, Kalea, Cici, Granger 2024, Kimmy 2025","Arlott, Yi Sun-Shin, Pharsa, Natan, Gatotkaca","Lancelot 2021, Zhuxin, Wanwan 2025, Harith, Karrie","Lapu-Lapu, Baxia, Kagura 2021, Moskov 2023, Hylos"
27,1,ONIC Philippines,TNC Pro Team,ONIC Philippines,"Cici, Harith, Phoveus 2024, Lapu-Lapu, Granger 2024","Hilda, Lancelot 2021, Kimmy 2025, Brody 2024, Hylos","Kalea, Wanwan 2025, Badang, Arlott, Moskov 2023","Uranus, Fanny, Zhuxin, Karrie, Grock 2025"
27,2,ONIC Philippines,TNC Pro Team,ONIC Philippines,"Cici, Lancelot 2021, Wanwan 2025, Ruby, Hylos","Uranus, Hayabusa 2021, Kimmy 2025, Granger 2024, Grock 2025","Kalea, Fanny, Harith, Phoveus 2024, Lapu-Lapu","Arlott, Yi Sun-Shin, Zhuxin, Moskov 2023, Baxia"
27,3,ONIC Philippines,TNC Pro Team,ONIC Philippines,"Cici, Harith, Uranus, Ruby, Moskov 2023","Lapu-Lapu, Joy, Zhuxin, Granger 2024, Gatotkaca","Wanwan 2025, Lancelot 2021, Fanny, Hylos, Bruno 2023","Arlott, Yi Sun-Shin, Aurora 2024, Karrie, Grock 2025"
28,1,AP.Bren,Team Liquid PH,Team Liquid PH,"Fredrinn, Arlott, Baxia, Esmeralda, Granger 2024","Uranus, Lancelot 2021, Kimmy 2025, Harith, Grock 2025","Wanwan 2025, Fanny, Kalea, Chip, Yve 2024","Dyrroth, Yi Sun-Shin, Zhuxin, Moskov 2023, Gatotkaca"
28,2,AP.Bren,Team Liquid PH,Team Liquid PH,"Wanwan 2025, Fredrinn, Zhuxin, Arlott, Gatotkaca","Cici, Joy, Valentina, Moskov 2023, Grock 2025","Fanny, Baxia, Harith, Kimmy 2025, Kagura 2021","Phoveus 2024, Lancelot 2021, Selena, Granger 2024, Hylos"
29,1,TNC Pro Team,Omega Esports,Omega Esports,"Harith, Kalea, Angela 2024 v2, Pharsa, Karrie","Benedetta, Baxia, Kimmy 2025, Bruno 2023, Hilda","Wanwan 2025, Zhuxin, Yi Sun-Shin, Phoveus 2024, Uranus","Lapu-Lapu, Lancelot 2021, Kagura 2021, Claude 2024, Chou"
29,2,TNC Pro Team,Omega Esports,Omega Esports,"Harith, Kalea, Angela 2024 v2, Chou, Chip","Gloo 2025, Lancelot 2021, Pharsa, Karrie, Grock 2025","Zhuxin, Yi Sun-Shin, Wanwan 2025, Phoveus 2024, Arlott","Lapu-Lapu, Fredrinn, Valentina, Claude 2024, Khaleed"
29,3,TNC Pro Team,Omega Esports,Omega Esports,"Harith, Kalea, Angela 2024 v2, Chou, Chip","Gloo 2025, Lancelot 2021, Luo Yi, Karrie, Grock 2025","Wanwan 2025, Zhuxin, Yi Sun-Shin, Phoveus 2024, Pharsa","Lapu-Lapu, Fredrinn, Valentina, Claude 2024, Khaleed"
30,1,Team Falcons PH,Aurora Gaming PH,Aurora Gaming PH,"Phoveus 2024, Harith, Zhuxin, Selena, Grock 2025","Cici, Baxia, Pharsa, Claude 2024, Franco","Wanwan 2025, Chip, Angela 2024 v2, Yi Sun-Shin, Kalea","Lapu-Lapu, Lancelot 2021, Valentina, Granger 2024, Chou"
30,2,Team Falcons PH,Aurora Gaming PH,Aurora Gaming PH,"Wanwan 2025, Angela 2024 v2, Phoveus 2024, Pharsa, Kimmy 2025","Esmeralda, Yi Sun-Shin, Zhuxin, Claude 2024, Gatotkaca","Fanny, Chip, Baxia, Khaleed, Cici","Uranus, Lancelot 2021, Cecilion, Harith, Kalea"
30,3,Team Falcons PH,Aurora Gaming PH,Aurora Gaming PH,"Harith, Zhuxin, Phoveus 2024, Pharsa, Lunox","Dyrroth 2025, Joy, Angela 2024 v2, Cici, Khaleed","Wanwan 2025, Baxia, Chip, Faramis 2022, Hilda","Uranus, Lancelot 2021, Kimmy 2025, Granger 2024, Franco"
31,1,Omega Esports,AP.Bren,AP.Bren,"Chip, Phoveus 2024, Wanwan 2025, Granger 2024, Hilda","Khaleed, Fredrinn, Zhuxin, Karrie, Chou","Lancelot 2021, Harith, Angela 2024 v2, Claude 2024, Arlott","Lapu-Lapu, Baxia, Kimmy 2025, Moskov 2023, Grock 2025"
31,2,Omega Esports,AP.Bren,AP.Bren,"Wanwan 2025, Chip, Zhuxin, Chou, Fredrinn","Ruby, Fanny, Valentina, Karrie, Baxia","Harith, Lapu-Lapu, Lancelot 2021, Claude 2024, Esmeralda","Cici, Uranus, Angela 2024 v2, Granger 2024, Gatotkaca"
31,3,Omega Esports,AP.Bren,AP.Bren,"Chip, Wanwan 2025, Cici, Angela 2024 v2, Granger 2024","Khaleed, Fredrinn, Zhuxin, Harith, Chou","Fanny, Lapu-Lapu, Lancelot 2021, Arlott, Grock 2025","Esmeralda, Baxia, Kimmy 2025, Bruno 2023, Mathilda"
32,1,Twisted Minds PH,Team Falcons PH,Team Falcons PH,"Fanny, Cici, Chip, Arlott, Mathilda","Phoveus 2024, Baxia, Kimmy 2025, Moskov 2023, Kalea","Wanwan 2025, Lancelot 2021, Angela 2024 v2, Beatrix, Karrie","Lapu-Lapu, Fredrinn, Zhuxin, Granger 2024, Grock 2025"
32,2,Twisted Minds PH,Team Falcons PH,Team Falcons PH,"Wanwan 2025, Chip, Baxia, Mathilda, Claude 2024","Uranus, Yi Sun-Shin, Yve 2024, Beatrix, Badang","Kalea, Lancelot 2021, Angela 2024 v2, Hylos, Gatotkaca","Arlott, Fredrinn, Zhuxin, Granger 2024, Franco"
32,3,Twisted Minds PH,Team Falcons PH,Team Falcons PH,"Fanny, Chip, Franco, Mathilda, Harith","Cici, Baxia, Kimmy 2025, Granger 2024, Kalea","Wanwan 2025, Lancelot 2021, Angela 2024 v2, Phoveus 2024, Lapu-Lapu","Arlott, Fredrinn, Zhuxin, Moskov 2023, Badang"
33,1,Team Liquid PH,ONIC Philippines,ONIC Philippines,"Baxia, Chip, Arlott, Kalea, Hilda","Uranus, Yi Sun-Shin, Kimmy 2025, Wanwan 2025, Franco","Fanny, Harith, Angela 2024 v2, Granger 2024, Lapu-Lapu","Gloo 2025, Lancelot 2021, Zhuxin, Lunox, Khaleed"
